src_subject_id,eventname,reshist_addr1_adi_edu_l,reshist_addr1_adi_edu_h,reshist_addr1_adi_work_c,reshist_addr1_adi_income,reshist_addr1_adi_in_dis,reshist_addr1_adi_home_v,reshist_addr1_adi_rent,reshist_addr1_adi_mortg,reshist_addr1_adi_home_o,reshist_addr1_adi_crowd,reshist_addr1_adi_unemp,reshist_addr1_adi_pov,reshist_addr1_adi_b138,reshist_addr1_adi_sp,reshist_addr1_adi_ncar,reshist_addr1_adi_ntel,reshist_addr1_adi_nplumb,reshist_addr1_adi_wsum,reshist_addr1_adi_perc,reshist_addr2_adi_edu_l,reshist_addr2_adi_edu_h,reshist_addr2_adi_work_c,reshist_addr2_adi_income,reshist_addr2_adi_in_dis,reshist_addr2_adi_home_v,reshist_addr2_adi_rent,reshist_addr2_adi_mortg,reshist_addr2_adi_home_o,reshist_addr2_adi_crowd,reshist_addr2_adi_unemp,reshist_addr2_adi_pov,reshist_addr2_adi_b138,reshist_addr2_adi_sp,reshist_addr2_adi_ncar,reshist_addr2_adi_ntel,reshist_addr2_adi_nplumb,reshist_addr2_adi_wsum,reshist_addr2_adi_perc,reshist_addr3_adi_edu_l,reshist_addr3_adi_edu_h,reshist_addr3_adi_work_c,reshist_addr3_adi_income,reshist_addr3_adi_in_dis,reshist_addr3_adi_home_v,reshist_addr3_adi_rent,reshist_addr3_adi_mortg,reshist_addr3_adi_home_o,reshist_addr3_adi_crowd,reshist_addr3_adi_unemp,reshist_addr3_adi_pov,reshist_addr3_adi_b138,reshist_addr3_adi_sp,reshist_addr3_adi_ncar,reshist_addr3_adi_ntel,reshist_addr3_adi_nplumb,reshist_addr3_adi_wsum,reshist_addr3_adi_perc
NDAR_INVHMAE29N4,baseline_year_1_arm_1,21.213339,55.60466,90.537384,35425,3.6453943,272400,974,1505,33.19082,35.02304,22.986954,33.408833,54.775345,27.406569,10.78341,7.18894,0,99.051285,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHMFE39RR,baseline_year_1_arm_1,0.75247526,99.24753,97.49347,130034,-0.105996676,413200,,2129,97.18348,0,3.2339566,0.93936807,1.2607297,4.0990605,0.73313785,0.73313785,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHBGX2W56,baseline_year_1_arm_1,7.6440387,76.72562,87.3392,60558,2.346595,147600,757,708,78.7559,3.9005737,12.989691,9.724389,15.396341,13.2085285,4.244742,8.183557,0,107.56153,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHBJ3VGCL,baseline_year_1_arm_1,25.03639,62.299854,97.654724,29280,3.7446709,,840,,3.6267722,33.980583,12.784091,23.460026,41.24755,33.68283,43.954105,0,1.2374324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHF1GBEEX,baseline_year_1_arm_1,2.9290144,92.78084,91.13893,53942,2.5660663,159200,850,1138,53.965557,2.5899673,4.4559097,18.867064,26.681818,26.815897,11.695747,3.9803708,0,107.29991,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHF3TTARK,baseline_year_1_arm_1,0.42056075,94.6729,85.42107,94348,0.8223183,251500,585,1225,97.909966,1.9212296,7.146861,4.089862,8.476757,4.032258,0.6243996,1.2007685,0,93.156044,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHHUAF7VW,baseline_year_1_arm_1,2.4940212,92.48377,95.965416,64236,1.9757409,213500,1294,1264,63.870476,0,5.3390493,9.427208,18.494898,14.319809,8.264462,0.68060285,0,100.717094,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHHUZ3XLC,baseline_year_1_arm_1,2.4880042,92.731476,94.6576,70967,1.9121753,163000,738,1042,83.12008,2.688172,9.05477,4.854369,13.146871,5.075022,3.320683,1.4547755,0.41934583,104.66753,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHMM33T0B,baseline_year_1_arm_1,2.6505034,95.78796,95.62842,100373,0,275200,1598,1663,86.808975,1.3376571,5.831904,0.54509413,4.4637995,7.8790884,0.36481556,1.3781922,0,89.95022,22,2.6505034,95.78796,95.62842,100373,0,275200,1598,1663,86.808975,1.3376571,5.831904,0.54509413,4.4637995,7.8790884,0.36481556,1.3781922,0,89.95022,22,,,,,,,,,,,,,,,,,,,
NDAR_INVHMNN9G5J,baseline_year_1_arm_1,2.0169852,88.747345,92.82258,35331,3.1814883,92800,1016,902,56.86207,2.3083265,11.174785,11.27923,32.340862,31.636864,6.5952187,0.2473207,0,116.08363,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
